n,max,empty
1200,5,433
1200,5,442
1200,5,460
1200,7,449
1200,6,446
1200,5,455
1200,5,450
1200,5,437
1200,6,436
1200,6,438
1200,7,429
1300,6,484
1300,6,466
1300,5,479
1300,6,463
1300,5,484
1300,5,467
1300,6,496
1300,5,479
1300,6,470
1300,5,485
1300,5,472
1300,5,475
1300,8,479
1300,6,480
1300,7,493
1300,5,462
1300,6,486
1300,5,463
1300,5,507
1300,5,460
1300,5,478
1300,5,462
1300,6,474
1300,5,461
1300,6,485
1300,5,486
1300,5,491
1300,6,482
1300,6,484
1300,6,471
1300,5,472
1300,6,491
1300,5,480
1300,5,485
1300,7,487
1300,5,470
1300,6,476
1300,5,484
1300,6,468
1300,5,480
1300,5,499
1300,5,478
1300,5,465
1300,5,508
1300,5,488
1300,6,470
1300,5,472
1300,5,481
1300,5,486
1300,6,468
1300,7,474
1300,6,476
1300,5,488
1300,6,487
1300,5,453
1300,4,461
1300,7,482
1300,6,475
1300,5,481
1300,6,491
1300,6,476
1300,5,487
1300,5,503
1300,6,482
1300,6,489
1300,6,490
1300,5,490
1300,5,485
1300,6,467
1300,5,461
1300,5,478
1300,5,466
1300,7,478
1300,6,483
1300,5,468
1300,5,482
1300,6,489
1300,5,460
1300,5,461
1300,5,462
1300,6,481
1300,5,472
1300,6,468
1300,5,496
1300,5,478
1300,7,476
1300,7,497
1300,7,480
1300,6,481
1300,6,479
1300,7,475
1300,6,474
1300,6,467
1300,6,473
1300,5,489
1300,5,487
1300,6,467
1300,5,467
1300,5,465
1300,5,481
1400,6,524
1400,5,509
1400,5,523
1400,7,519
1400,6,490
1400,6,523
1400,5,514
1400,6,530
1400,6,515
1400,5,534
1400,5,513
1400,5,516
1400,5,491
1400,6,519
1400,6,514
1400,6,520
1400,6,535
1400,6,509
1400,5,506
1400,5,504
1400,5,502
1400,5,526
1400,5,499
1400,5,508
1400,6,517
1400,5,515
1400,6,535
1400,6,507
1400,5,506
1400,6,498
1400,5,524
1400,5,511
1400,6,527
1400,6,510
1400,5,515
1400,5,508
1400,6,503
1400,6,530
1400,5,509
1400,5,524
1400,6,530
1400,6,521
1400,5,490
1400,7,525
1400,6,517
1400,6,514
1400,5,501
1400,6,517
1400,5,516
1400,6,501
1400,7,516
1400,6,511
1400,7,502
1400,6,524
1400,6,519
1400,6,515
1400,6,510
1400,6,515
1400,6,500
1400,5,504
1400,7,516
1400,5,497
1400,5,543
1400,6,506
1400,5,527
1400,5,528
1400,5,512
1400,8,520
1400,5,491
1400,5,498
1400,6,518
1400,5,501
1400,7,529
1400,6,496
1400,5,501
1400,6,485
1400,5,502
1400,6,513
1400,5,511
1400,5,522
1400,5,504
1400,5,521
1400,6,488
1400,5,537
1400,7,505
1400,6,519
1400,5,531
1400,5,513
1400,5,523
1400,6,523
1400,5,502
1400,8,507
1400,5,526
1400,6,504
1400,6,492
1400,7,509
1400,8,546
1400,6,513
1400,5,530
1400,6,511
1500,5,541
1500,6,532
1500,5,563
1500,6,551
1500,6,570
1500,6,557
1500,5,542
1500,6,560
1500,5,554
1500,6,541
1500,5,546
1500,5,559
1500,5,560
1500,6,560
1500,6,566
1500,7,562
1500,6,542
1500,6,559
1500,5,560
1500,7,527
1500,5,549
1500,5,563
1500,5,550
1500,5,560
1500,6,542
1500,6,555
1500,6,574
1500,6,555
1500,6,549
1500,6,551
1500,5,544
1500,6,536
1500,7,546
1500,5,536
1500,5,552
1500,6,548
1500,5,560
1500,6,529
1500,6,559
1500,5,562
1500,5,560
1500,6,560
1500,6,555
1500,6,569
1500,5,532
1500,5,554
1500,5,537
1500,6,550
1500,6,536
1500,6,549
1500,5,552
1500,6,543
1500,5,524
1500,5,562
1500,5,545
1500,5,562
1500,6,558
1500,5,555
1500,6,559
1500,6,560
1500,6,550
1500,8,553
1500,5,571
1500,6,546
1500,5,562
1500,7,551
1500,5,567
1500,7,560
1500,7,547
1500,5,560
1500,6,565
1500,5,523
1500,6,540
1500,5,556
1500,6,544
1500,6,562
1500,6,545
1500,5,535
1500,6,537
1500,5,532
1500,5,555
1500,7,550
1500,6,555
1500,5,567
1500,6,558
1500,6,555
1500,5,567
1500,5,542
1500,5,553
1500,6,565
1500,6,555
1500,5,551
1500,7,533
1500,6,552
1500,6,540
1500,5,559
1500,5,556
1500,5,544
1500,5,555
1500,5,566
1600,5,583
1600,6,587
1600,5,591
1600,6,585
1600,5,595
1600,6,582
1600,8,580
1600,6,592
1600,6,598
1600,5,577
1600,7,567
1600,7,603
1600,6,597
1600,5,594
1600,5,574
1600,7,593
1600,5,582
1600,6,593
1600,5,592
1600,6,588
1600,6,587
1600,6,589
1600,7,585
1600,5,583
1600,5,606
1600,5,579
1600,5,585
1600,5,580
1600,5,595
1600,5,589
1600,5,585
1600,5,588
1600,6,566
1600,5,589
1600,6,594
1600,5,581
1600,5,596
1600,7,588
1600,7,585
1600,6,594
1600,5,573
1600,6,587
1600,5,568
1600,6,594
1600,6,580
1600,6,599
1600,6,591
1600,7,600
1600,6,579
1600,7,594
1600,6,596
1600,6,584
1600,7,581
1600,6,578
1600,5,595
1600,7,581
1600,6,609
1600,6,601
1600,8,604
1600,6,571
1600,6,592
1600,6,582
1600,5,596
1600,6,576
1600,6,613
1600,5,598
1600,5,595
1600,6,581
1600,5,569
1600,6,576
1600,5,572
1600,6,582
1600,7,577
1600,6,579
1600,5,560
1600,5,606
1600,6,566
1600,5,572
1600,6,579
1600,6,592
1600,6,594
1600,6,582
1600,6,592
1600,6,609
1600,5,607
1600,7,590
1600,6,590
1600,6,604
1600,6,589
1600,6,614
1600,6,576
1600,5,590
1600,6,587
1600,6,572
1600,7,584
1600,7,594
1600,6,592
1600,5,602
1600,6,597
1600,6,603
1700,6,632
1700,6,628
1700,6,623
1700,6,639
1700,6,616
1700,6,627
1700,8,624
1700,6,634
1700,6,630
1700,5,613
1700,6,600
1700,5,627
1700,6,619
1700,5,643
1700,6,616
1700,5,610
1700,5,611
1700,7,609
1700,5,630
1700,5,633
1700,7,620
1700,5,622
1700,5,616
1700,5,634
1700,7,615
1700,5,635
1700,5,622
1700,7,626
1700,7,625
1700,6,643
1700,6,634
1700,6,634
1700,6,631
1700,6,644
1700,5,636
1700,5,626
1700,7,630
1700,6,605
1700,6,630
1700,6,641
1700,5,608
1700,6,634
1700,5,605
1700,6,609
1700,6,606
1700,5,644
1700,6,635
1700,5,622
1700,5,609
1700,5,631
1700,6,599
1700,5,623
1700,6,633
1700,6,625
1700,5,627
1700,7,604
1700,5,621
1700,5,628
1700,6,618
1700,6,622
1700,7,624
1700,5,630
1700,5,636
1700,5,635
1700,6,633
1700,5,635
1700,6,616
1700,6,629
1700,5,604
1700,5,620
1700,5,615
1700,6,637
1700,6,630
1700,5,643
1700,6,629
1700,6,638
1700,6,636
1700,5,619
1700,9,638
1700,6,629
1700,6,634
1700,6,628
1700,6,637
1700,6,644
1700,6,604
1700,5,644
1700,5,607
1700,6,642
1700,7,622
1700,5,602
1700,5,620
1700,7,627
1700,5,628
1700,6,648
1700,7,614
1700,6,628
1700,5,629
1700,6,630
1700,5,627
1700,5,625
1800,5,648
1800,6,674
1800,6,643
1800,5,641
1800,5,664
1800,6,669
1800,5,652
1800,8,671
1800,5,643
1800,5,668
1800,5,683
1800,5,638
1800,5,693
1800,6,648
1800,5,668
1800,6,648
1800,6,669
1800,6,675
1800,7,652
1800,6,652
1800,6,661
1800,6,651
1800,6,662
1800,5,671
1800,6,645
1800,6,653
1800,5,653
1800,6,689
1800,5,627
1800,7,655
1800,7,668
1800,6,677
1800,6,654
1800,6,657
1800,5,665
1800,6,658
1800,5,653
1800,5,667
1800,6,656
1800,6,671
1800,6,672
1800,6,666
1800,6,673
1800,5,665
1800,6,648
1800,5,656
1800,6,636
1800,6,667
1800,5,645
1800,6,644
1800,7,661
1800,6,635
1800,6,641
1800,5,658
1800,5,656
1800,7,663
1800,6,666
1800,5,661
1800,6,656
1800,5,670
1800,6,659
1800,5,671
1800,6,657
1800,7,665
1800,5,655
1800,6,674
1800,7,663
1800,6,689
1800,7,662
1800,5,666
1800,6,665
1800,6,636
1800,5,658
1800,6,665
1800,6,668
1800,5,655
1800,6,678
1800,6,660
1800,6,671
1800,5,666
1800,5,641
1800,6,633
1800,6,650
1800,6,664
1800,6,685
1800,5,650
1800,7,656
1800,6,626
1800,6,693
1800,5,651
1800,6,663
1800,5,667
1800,5,683
1800,6,665
1800,6,697
1800,5,659
1800,6,668
1800,6,654
1800,5,659
1800,5,674
1900,6,700
1900,7,722
1900,6,728
1900,9,710
1900,5,709
1900,6,682
1900,6,716
1900,5,699
1900,6,687
1900,6,713
1900,6,677
1900,7,692
1900,5,700
1900,7,733
1900,6,699
1900,6,710
1900,5,693
1900,7,721
1900,7,691
1900,6,697
1900,6,697
1900,6,696
1900,7,694
1900,6,686
1900,6,694
1900,6,722
1900,5,712
1900,5,702
1900,6,701
1900,5,697
1900,7,688
1900,8,691
1900,6,679
1900,5,677
1900,6,693
1900,7,706
1900,7,705
1900,6,688
1900,7,694
1900,5,709
1900,6,699
1900,6,662
1900,6,716
1900,6,693
1900,6,711
1900,5,701
1900,6,697
1900,5,690
1900,6,691
1900,5,725
1900,7,708
1900,6,690
1900,6,676
1900,6,701
1900,5,714
1900,5,699
1900,5,684
1900,6,708
1900,5,688
1900,6,696
1900,6,697
1900,6,710
1900,5,694
1900,6,711
1900,6,692
1900,6,711
1900,6,705
1900,6,714
1900,5,689
1900,5,729
1900,6,701
1900,7,705
1900,6,691
1900,7,717
1900,5,691
1900,6,697
1900,6,681
1900,5,676
1900,6,699
1900,6,708
1900,6,699
1900,6,701
1900,6,687
1900,7,683
1900,6,704
1900,6,697
1900,5,705
1900,5,675
1900,6,698
1900,5,710
1900,6,698
1900,5,690
1900,7,710
1900,5,722
1900,6,698
1900,5,696
1900,6,724
