N,removed,diff,iterations
200,760,408,64747
200,776,408,66707
200,784,408,66819
200,803,408,67152
200,793,408,67016
200,753,408,65075
200,752,408,64654
200,779,408,66241
200,759,408,65156
200,768,408,65555
200,767,408,65488
200,773,408,65663
200,774,408,65931
200,799,408,67241
200,777,408,66210
200,751,408,64308
200,764,408,65044
200,796,408,66696
200,763,408,65072
200,786,408,66229
200,785,408,66121
200,793,408,66582
200,787,408,66798
200,813,408,68388
200,763,408,64683
200,773,408,65187
200,780,408,66129
200,756,408,64993
200,754,408,64519
200,766,408,65208
200,775,408,65791
200,768,408,65745
200,765,408,65572
200,752,408,64814
200,785,408,66402
200,766,408,65059
200,758,408,64724
200,773,408,65909
200,760,408,65444
200,776,408,65959
200,802,408,67421
200,774,408,66299
200,761,408,65196
200,773,408,65480
200,760,408,64925
200,780,408,66104
200,772,408,65619
200,787,408,66429
200,772,408,65701
200,762,408,65123
200,777,408,66568
200,755,408,64906
200,763,408,64896
200,768,408,65537
200,770,408,65238
200,803,408,67692
200,769,408,65309
200,780,408,65922
200,791,408,66613
200,738,408,63606
200,792,408,66790
200,761,408,65056
200,804,408,67803
200,759,408,65608
200,797,408,67231
200,771,408,65791
200,777,408,65861
200,770,408,65451
200,776,408,66173
200,773,408,66073
200,774,408,65824
200,741,408,63758
200,765,408,64852
200,759,408,64691
200,779,408,66111
200,751,408,64499
200,791,408,66571
200,766,408,65466
200,787,408,66675
200,773,408,66238
200,758,408,64512
200,772,408,65630
200,763,408,65355
200,769,408,65572
200,785,408,66472
200,750,408,63663
200,777,408,66091
200,767,408,65570
200,774,408,66450
200,757,408,64583
200,756,408,64380
200,781,408,66124
200,762,408,65193
200,748,408,64066
200,746,408,64092
200,779,408,66005
200,764,408,65388
200,780,408,66529
200,755,408,64689
200,756,408,64532
200,776,408,65802
200,774,408,65359
200,793,408,67343
200,754,408,64480
200,773,408,65716
200,744,408,64098
200,784,408,67056
200,750,408,64371
200,782,408,66213
200,745,408,64514
200,746,408,63996
200,769,408,65445
200,772,408,65235
200,777,408,66117
200,798,408,67425
200,805,408,67429
200,737,408,63716
200,757,408,64747
200,787,408,66609
200,798,408,67366
200,757,408,64566
200,785,408,66406
200,806,408,67194
200,795,408,67365
200,739,408,63523
200,766,408,65296
200,793,408,67060
200,813,408,67886
200,781,408,66142
200,771,408,65386
200,755,408,64493
200,750,408,64796
200,768,408,65710
200,729,408,63649
200,762,408,64936
200,762,408,65181
200,769,408,65982
200,771,408,65483
200,764,408,64992
200,756,408,64913
200,780,408,66188
200,747,408,64453
200,744,408,64003
200,768,408,65097
200,777,408,65808
200,755,408,64527
200,777,408,66302
200,782,408,66487
200,734,408,63496
200,747,408,64515
200,784,408,66384
200,785,408,66055
200,751,408,64173
200,766,408,65269
200,764,408,65012
200,760,408,65054
200,802,408,67519
200,749,408,64400
200,740,408,63352
200,773,408,65782
200,766,408,65438
200,765,408,65779
200,800,408,67155
200,772,408,65567
200,743,408,64431
200,784,408,65993
200,744,408,63722
200,794,408,67459
200,775,408,65410
200,768,408,65467
200,778,408,66267
200,768,408,65496
200,770,408,65370
200,749,408,64162
200,743,408,63995
200,757,408,64691
200,784,408,66464
200,773,408,66113
200,771,408,65888
200,740,408,63863
200,800,408,67068
200,743,408,64062
200,759,408,64941
200,793,408,66953
200,767,408,65014
200,778,408,65977
200,808,408,67648
200,737,408,63888
200,783,408,66382
200,778,408,66528
200,778,408,66020
200,746,408,64109
200,795,408,67081
200,751,408,64364
200,793,408,66603
200,747,408,64218
200,808,408,67861
200,764,408,65168
200,767,408,65152
200,783,408,66063
200,752,408,64087
200,772,408,65855
200,771,408,65648
200,749,408,64365
200,743,408,64208
200,788,408,66545
200,763,408,65413
200,765,408,65145
200,753,408,64403
200,785,408,66556
200,759,408,64494
200,779,408,65779
200,787,408,65898
200,773,408,65885
200,793,408,66797
200,767,408,65627
200,777,408,66043
200,766,408,65119
200,775,408,65619
200,759,408,64917
200,784,408,66022
200,776,408,65818
200,805,408,67606
200,774,408,65823
200,759,408,65112
200,776,408,65764
200,808,408,67230
200,775,408,65632
200,822,408,69195
200,751,408,64142
200,766,408,65169
200,775,408,65939
200,763,408,65546
200,791,408,66519
200,783,408,66465
200,755,408,64456
200,795,408,66736
200,754,408,64480
200,763,408,64868
200,728,408,63142
200,729,408,63357
200,777,408,65917
200,783,408,66058
200,753,408,64359
200,764,408,65119
200,782,408,65996
200,800,408,67357
200,745,408,64100
200,742,408,63973
200,788,408,67159
200,773,408,65300
200,774,408,65743
200,786,408,66749
200,803,408,67170
200,759,408,64696
200,734,408,63413
200,810,408,67583
200,750,408,64483
200,767,408,65159
200,747,408,64334
200,756,408,64762
200,768,408,65014
200,777,408,66033
200,784,408,66008
200,768,408,66190
